Trial,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq
122,,122_non-creaky.wav,tablaʁ-b.wav,t,none,t-none,none,Initial,151.png,56.png,test,control,non-creaky,تَبلَغ,أبلَغ,reach;attain,report;inform;notify,تَبلَغ,أبلَغ,47052,17341
123,,123_non-creaky.wav,taquːl-b.wav,t,none,t-none,none,Initial,152.png,57.png,test,control,non-creaky,تَقول,أقول,say,say,تَقول,أقول,49261,14036
124,,124_non-creaky.wav,taɾa-b.wav,t,none,t-none,none,Initial,155.png,60.png,test,control,non-creaky,تَرى,أرى,see;think;believe,see;think;believe,تَرى,أرى,38891,7666
125,,125_non-creaky.wav,ʔɪntɪhæːk-b.wav,k,none,k-none,none,Final,156.png,61.png,test,control,non-creaky,اِنْتِهاك,اِنْتِهاء,exhaustion,finishing;completion;conclusion,اِنْتِهاك,اِنْتِهاء,6516,59925
126,,126_non-creaky.wav,kam-b.wav,k,none,k-none,none,Initial,157.png,62.png,test,control,non-creaky,كَمْ,أَمْ,how,or,كَمْ,أَمْ,34974,51870
127,,127_non-creaky.wav,takliːf-b.wav,k,none,k-none,none,Medial,158.png,63.png,test,control,non-creaky,تَكليف,تَأليف,charging;commissioning,authoring;composing;constituting,تَكليف,تَأليف,3958,15041
128,,128_non-creaky.wav,ʔasmæːk-b.wav,k,none,k-none,none,Final,159.png,64.png,test,control,non-creaky,أَسماك,أَسماء,fish,names,أَسماك,أَسماء,5494,11967
129,,129_non-creaky.wav,kamiːn-b.wav,k,none,k-none,none,Initial,160.png,65.png,test,control,non-creaky,كَمين,أمين,hidden;ambush,secretary,كَمين,أمين,3196,20044
130,,130_non-creaky.wav,ʔærːæːkɪd-b.wav,k,none,k-none,none,Medial,162.png,67.png,test,control,non-creaky,الرّاكِد,الرّائِد,stagnant;sluggish;tranquil,leader;explorer;pioneer,الرّاكِد,الرّائِد,256,8609
131,,131_non-creaky.wav,ræːkɪʕa-b.wav,k,none,k-none,none,Medial,163.png,68.png,test,control,non-creaky,راكِعة,رائِعة,bowing;kneeling;prostrate,splendid;marvelous;magnificent,راكِعة,رائِعة,23,6788
132,,132_non-creaky.wav,ʔælmʊlæːkɪm-b.wav,k,none,k-none,none,Medial,164.png,69.png,test,control,non-creaky,المُلاكِم,المُلائِم,boxer;pugilist,suitable;appropriate,المُلاكِم,المُلائِم,1778,5061
133,,133_non-creaky.wav,tæːl-b.wav,t,none,t-none,none,Initial,165.png,70.png,test,control,non-creaky,تال,قال,following;subsequent,said,تال,قال,1418,430162
134,,134_non-creaky.wav,ʔatwa-b.wav,t,none,t-none,none,Medial,167.png,72.png,test,control,non-creaky,أَتوا,أَقوى,arrive;come;reach,stronger/strongest;more/most_powerful,أَتوا,أَقوى,2757,14518
135,,135_non-creaky.wav,fatɾa-b.wav,t,none,t-none,none,Medial,168.png,73.png,test,control,non-creaky,فَترة,فَقرة,phase;time_period;interval,paragraph;clause,فَترة,فَقرة,109530,13023
136,,136_non-creaky.wav,ʔælʕɑtiːd-b.wav,t,none,t-none,none,Medial,169.png,74.png,test,control,non-creaky,العَتيد,العَقيد,prepared,colonel,العَتيد,العَقيد,2069,12868
137,,137_non-creaky.wav,jafuːt-b.wav,t,none,t-none,none,Final,175.png,80.png,test,control,non-creaky,يَفوت,يَفوق,expire;go_by,surpass;excel,يَفوت,يَفوق,1365,10956
138,,138_non-creaky.wav,tasˤiːr-b.wav,t,none,t-none,none,Initial,176.png,81.png,test,control,non-creaky,تَصير,قَصير,become;begin_to,short;small,تَصير,قَصير,3536,8833
139,,139_non-creaky.wav,nafat-b.wav,t,none,t-none,none,Final,177.png,82.png,test,control,non-creaky,نَفَت,نَفَق,deny;disavow;reject,tunnel;subway_shaft,نَفَت,نَفَق,10423,6056
140,,140_non-creaky.wav,ʔælfæːʔɪta-b.wav,t,none,t-none,none,Medial,178.png,83.png,test,control,non-creaky,الفائِتة,الفائِقة,past;expired;elapsed;gone_by,boundless;exceeding,الفائِتة,الفائِقة,1647,5743
141,,141_non-creaky.wav,ħalːat-b.wav,t,none,t-none,none,Final,179.png,84.png,test,control,non-creaky,حَلَّت,حَلَّق,dissolve;untie;solve_(problem),encircle;whirl,حَلَّت,حَلَّق,11025,4217
142,,142_non-creaky.wav,ʕataba-b.wav,t,none,t-none,none,Medial,180.png,85.png,test,control,non-creaky,عَتَبَة,عَقَبَة,step;stair;threshold,obstacle;Aqaba(Jordan),عَتَبَة,عَقَبَة,7966,3346
143,,143_non-creaky.wav,ʔasːabt-b.wav,t,none,t-none,none,Final,181.png,86.png,test,control,non-creaky,السَّبْت,السَّبْق,Saturday,precedence;antecedence,السَّبْت,السَّبْق,222180,2697
144,,144_non-creaky.wav,tamːat-b.wav,t,none,t-none,none,Final,182.png,87.png,test,control,non-creaky,تَمَّت,قَمَّت,conclude;take_place,sweep,تَمَّت,قَمَّت,38873,1997
145,,145_creaky.wav,fæːqa-c.wav,q,t,q-t,1,Medial,1.png,96.png,test,phoneme,creaky,فاقَ,فاتَ,to exceed or go beyond,to pass by in time,فاقَ,فاتَ,,
146,,146_creaky.wav,fæːʔa-c.wav,gs,t,gs-t,2,Medial,1.png,96.png,test,allophone,creaky,فاقَ,فاتَ,to exceed or go beyond,to pass by in time,فاقَ,فاتَ,,
147,,147_creaky.wav,jʊʔaʒɪr-c.wav,ʔ,t,ʔ-t,3,Medial,3.png,98.png,test,phoneme,creaky,يُؤَجِر,يُتَجِر,to rent out,to trade,يُؤَجِر,يُتَجِر,,
148,,148_creaky.wav,jʊqarːɪb-c.wav,q,t,q-t,4,Medial,4.png,99.png,test,phoneme,creaky,يُقَرِّب,يُتَرِّب,to approach,to cover with dust,يُقَرِّب,يُتَرِّب,,
149,,149_creaky.wav,jʊʔarːɪb-c.wav,gs,t,gs-t,5,Medial,4.png,99.png,test,allophone,creaky,يُقَرِّب,يُتَرِّب,to approach,to cover with dust,يُقَرِّب,يُتَرِّب,,
150,,150_creaky.wav,jʊqasˤːɪl-c.wav,q,t,q-t,6,Medial,6.png,101.png,test,phoneme,creaky,يُقَصِّل,يُتَصِّل,to feed hay to livestock,to connect,يُقَصِّل,يُتَصِّل,,
151,target repeats,151_creaky.wav,jʊʔasˤːɪl-c.wav,ʔ,t,ʔ-t,7,Medial,7.png,101.png,test,phoneme,creaky,يُأَصِّل,يُتَصِّل,to found or originate,to connect,يُأَصِّل,يُتَصِّل,,
152,duplicated 151.wav,152_creaky.wav,jʊʔasˤːɪl-c.wav,gs,t,gs-t,8,Medial,6.png,101.png,test,allophone,creaky,يُقَصِّل,يُتَصِّل,to feed hay to livestock,to connect,يُقَصِّل,يُتَصِّل,,
153,,153_creaky.wav,jaqsɪr-c.wav,q,k,q-k,9,Medial,9.png,104.png,test,phoneme,creaky,يَقسِر,يَكسِر,to force or coerce,to break,يَقسِر,يَكسِر,2,1056
154,,154_creaky.wav,jaʔsɪr2-c.wav,ʔ,k,ʔ-k,10,Medial,10.png,104.png,test,phoneme,creaky,يَأسِر,يَكسِر,to bind,to break,يَأسِر,يَكسِر,,
155,,155_creaky.wav,jaʔsɪr-c.wav,gs,k,gs-k,11,Medial,9.png,104.png,test,allophone,creaky,يَقسِر,يَكسِر,to force or coerce,to break,يَقسِر,يَكسِر,2,1056
156,,156_creaky.wav,jaqʃɪf-c.wav,q,k,q-k,12,Medial,12.png,107.png,test,phoneme,creaky,يَقشِف,يَكشِف,to live in squalor or misery,"to expose, uncover",يَقشِف,يَكشِف,,
157,,157_creaky.wav,jaʔʃɪf-c.wav,gs,k,gs-k,13,Medial,12.png,107.png,test,allophone,creaky,يَقشِف,يَكشِف,to live in squalor or misery,"to expose, uncover",يَقشِف,يَكشِف,,
158,,158_creaky.wav,jaqfɪl-c.wav,q,k,q-k,14,Medial,14.png,109.png,test,phoneme,creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,
159,,159_creaky.wav,jaʔfɪl-c.wav,gs,k,gs-k,15,Medial,14.png,109.png,test,allophone,creaky,يَقفِل,يَكفِل,to lock,to guarantee,يَقفِل,يَكفِل,,
160,,160_creaky.wav,jʊqarːɪf-c.wav,q,t,q-t,16,Medial,16.png,112.png,test,phoneme,creaky,يُقرِّف,يُترّّف,to arouse digust,to spoil in luxury,يُقرِّف,يُترّّف,,
161,,161_creaky.wav,jʊʔarːɪf-c.wav,gs,t,gs-t,17,Medial,16.png,112.png,test,allophone,creaky,يُقرِّف,يُترِّف,to arouse digust,to spoil in luxury,يُقرِّف,يُترِّف,,
162,,162_creaky.wav,jaqʊfː-c.wav,q,k,q-k,18,Medial,18.png,113.png,test,phoneme,creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,
163,,163_creaky.wav,jaʔʊfː-c.wav,gs,k,gs-k,19,Medial,18.png,113.png,test,allophone,creaky,يَقُفّ,يَكُفّ,"to ruffle, to shrivel","to cease, to hem, to skirt",يَقُفّ,يَكُفّ,,
164,,164_creaky.wav,jaqsɪb-c.wav,q,k,q-k,20,Medial,20.png,115.png,test,phoneme,creaky,يَقسِب,يَكسِب,"to flow, to trickle down",to win a struggle or war,يَقسِب,يَكسِب,,
165,,165_creaky.wav,jaʔsɪb-c.wav,gs,k,gs-k,21,Medial,20.png,115.png,test,allophone,creaky,يَقسِب,يَكسِب,"to flow, to trickle down",to win a struggle or war,يَقسِب,يَكسِب,,
166,,166_creaky.wav,jʊʔalːɪf-c.wav,ʔ,t,ʔ-t,22,Medial,22.png,117.png,test,phoneme,creaky,يُؤَلِّف,يُتَلِّف,to become familiar with,"to perish, to spoil, to destroy",يُؤَلِّف,يُتَلِّف,,
167,,167_creaky.wav,jaʔnɪs-c.wav,ʔ,k,ʔ-k,23,Medial,23.png,118.png,test,phoneme,creaky,يَأنِس,يَكنِس,to become used to,to hide or retreat,يَأنِس,يَكنِس,,
168,,168_creaky.wav,jaʔwi-c.wav,ʔ,k,ʔ-k,24,Medial,24.png,119.png,test,phoneme,creaky,يَأوي,يَكوي,to take shelter (or receive shelter),"to sear, to cauterize",يَأوي,يَكوي,,
169,,169_creaky.wav,nabaʔ-c.wav,ʔ,t,ʔ-t,25,Final,25.png,120.png,test,phoneme,creaky,نَبَأ,نَبَت,"to elevate, to exalt","to germinate, to sprout",نَبَأ,نَبَت,,
170,,170_creaky.wav,jaquːn-c.wav,q,k,q-k,26,Medial,26.png,121.png,test,phoneme,creaky,يَقون,يَكون,preserve;safeguard,be,يَقون,يَكون,4,254261
171,,171_creaky.wav,jaʔuːn-c.wav,gs,k,gs-k,27,Medial,26.png,121.png,test,allophone,creaky,يَقون,يَكون,preserve;safeguard,be,يَقون,يَكون,4,254261
172,,172_creaky.wav,qaːnuːn-c.wav,q,k,q-k,28,Initial,28.png,123.png,test,phoneme,creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378,101878
173,,173_creaky.wav,ʔaːnuːn-c.wav,gs,k,gs-k,29,Initial,28.png,123.png,test,allophone,creaky,قانون,كانون,law;statutes;regulations,stove,قانون,كانون,92378,101878
174,,174_creaky.wav,quːba-c.wav,q,k,q-k,30,Initial,30.png,125.png,test,phoneme,creaky,قوبا,كوبا,young_bird;chick,Cuba,قوبا,كوبا,10,21391
175,,175_creaky.wav,ʔuːba-c.wav,gs,k,gs-k,31,Initial,30.png,125.png,test,allophone,creaky,قوبا,كوبا,young_bird;chick,Cuba,قوبا,كوبا,10,21391
176,,176_creaky.wav,taraq-c.wav,q,k,q-k,32,Final,32.png,127.png,test,phoneme,creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670,19302
177,,177_creaky.wav,taraʔ-c.wav,gs,k,gs-k,33,Final,32.png,127.png,test,allophone,creaky,تَرَق,تَرَك,ascend;rise;promote,leave;quit,تَرَق,تَرَك,670,19302
178,,178_creaky.wav,waqarːar-c.wav,q,k,q-k,34,Medial,34.png,129.png,test,phoneme,creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138,12919
179,,179_creaky.wav,waʔarːar-c.wav,gs,k,gs-k,35,Medial,34.png,129.png,test,allophone,creaky,وَقَرَّر,وَكَرَّر,decide;resolve,repeat;reiterate,وَقَرَّر,وَكَرَّر,13138,12919
180,,180_creaky.wav,waqæːd-c.wav,q,k,q-k,36,Medial,36.png,131.png,test,phoneme,creaky,وَقاد,وَكاد,lead;guide,almost;hardly;no_sooner,وَقاد,وَكاد,5898,7904
181,,181_creaky.wav,waʔæːd-c.wav,gs,k,gs-k,37,Medial,36.png,131.png,test,allophone,creaky,وَقاد,وَكاد,lead;guide,almost;hardly;no_sooner,وَقاد,وَكاد,5898,7904
182,,182_creaky.wav,waqiːl-c.wav,q,k,q-k,38,Medial,40.png,135.png,test,phoneme,creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767,3581
183,,183_creaky.wav,waʔiːl-c.wav,gs,k,gs-k,39,Medial,40.png,135.png,test,allophone,creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767,3581
184,,184_creaky.wav,qawaː-c.wav,q,k,q-k,40,Initial,42.png,137.png,test,phoneme,creaky,قَوى,كَوى,power;forces,apertures;skylights,قَوى,كَوى,51772,3129
185,,185_creaky.wav,ʔawaː-c.wav,gs,k,gs-k,41,Initial,42.png,137.png,test,allophone,creaky,قَوى,كَوى,power;forces,apertures;skylights,قَوى,كَوى,51772,3129
186,,186_creaky.wav,qalb-c.wav,q,k,q-k,42,Initial,44.png,139.png,test,phoneme,creaky,قَلب,كَلب,heart,dog,قَلب,كَلب,2704,21029
187,,187_creaky.wav,ʔalb-c.wav,gs,k,gs-k,43,Initial,44.png,139.png,test,allophone,creaky,قَلب,كَلب,heart,dog,قَلب,كَلب,2704,21029
188,,188_creaky.wav,ʔakuːn-c.wav,ʔ,k,ʔ-k,44,Initial,46.png,141.png,test,phoneme,creaky,أكون,تَكون,be,be,أكون,تَكون,100374,5576
189,,189_creaky.wav,ʔʊriːd-c.wav,ʔ,t,ʔ-t,45,Initial,47.png,142.png,test,phoneme,creaky,أُريد,تُريد,want;desire;intend,want;desire;intend,أُريد,تُريد,59771,17337
190,,190_creaky.wav,ʔaʕmal-c.wav,ʔ,t,ʔ-t,46,Initial,48.png,143.png,test,phoneme,creaky,أعمَل,تَعمَل,work;function;act,work;function;act,أعمَل,تَعمَل,1553,54990
191,,191_creaky.wav,ʔarfʊdˤ-c.wav,ʔ,t,ʔ-t,47,Initial,50.png,145.png,test,phoneme,creaky,أرفُض,تَرفُض,reject;refuse,reject;refuse,أرفُض,تَرفُض,1387,26804
192,,192_creaky.wav,ʔatˤlʊb-c.wav,ʔ,t,ʔ-t,48,Initial,51.png,146.png,test,phoneme,creaky,أطلُب,تَطلُب,request,request,أطلُب,تَطلُب,3103,19843
193,,193_creaky.wav,ʔamæːm-c.wav,ʔ,t,ʔ-t,49,Initial,52.png,147.png,test,phoneme,creaky,أمام,تَمام,front;forward,exact;complete,أمام,تَمام,431358,2310
194,,194_creaky.wav,ʔajːɑr-c.wav,ʔ,t,ʔ-t,50,Initial,53.png,148.png,test,phoneme,creaky,أيّار,تَيّار,May,current;stream,أيّار,تَيّار,73492,6249
195,,195_creaky.wav,ʔʊdˤɑf-c.wav,ʔ,t,ʔ-t,51,Initial,54.png,149.png,test,phoneme,creaky,أُضاف,تُضاف,add,be_added,أُضاف,تُضاف,31214,4876
196,,196_creaky.wav,ʔʊqiːm-c.wav,ʔ,t,ʔ-t,52,Initial,55.png,150.png,test,phoneme,creaky,أُقيم,تُقيم,take_place;be_installed;be_established,install;establish;erect,أُقيم,تُقيم,18543,13107
197,,197_creaky.wav,ʔablaʁ-c.wav,ʔ,t,ʔ-t,53,Initial,56.png,151.png,test,phoneme,creaky,أبلَغ,تَبلَغ,report;inform;notify,reach;attain,أبلَغ,تَبلَغ,17341,47052
198,,198_creaky.wav,ʔaquːl-c.wav,ʔ,t,ʔ-t,54,Medial,57.png,152.png,test,phoneme,creaky,أقول,تَقول,say,say,أقول,تَقول,14036,49261
199,,199_creaky.wav,ʔaɾa-c.wav,ʔ,t,ʔ-t,55,Initial,60.png,155.png,test,phoneme,creaky,أرى,تَرى,see;think;believe,see;think;believe,أرى,تَرى,7666,38891
200,,200_creaky.wav,ʔɪntɪhæːʔ-c.wav,ʔ,k,ʔ-k,56,Final,61.png,156.png,test,phoneme,creaky,اِنْتِهاء,اِنْتِهاك,finishing;completion;conclusion,exhaustion,اِنْتِهاء,اِنْتِهاك,59925,6516
201,,201_creaky.wav,ʔam-c.wav,ʔ,k,ʔ-k,57,Initial,62.png,157.png,test,phoneme,creaky,أَمْ,كَمْ,or,how,أَمْ,كَمْ,51870,34974
202,,202_creaky.wav,taʔliːf-c.wav,ʔ,k,ʔ-k,58,Medial,63.png,158.png,test,phoneme,creaky,تَأليف,تَكليف,authoring;composing;constituting,charging;commissioning,تَأليف,تَكليف,15041,3958
203,,203_creaky.wav,ʔasmæːʔ-c.wav,ʔ,k,ʔ-k,59,Final,64.png,159.png,test,phoneme,creaky,أَسماء,أَسماك,names,fish,أَسماء,أَسماك,11967,5494
204,,204_creaky.wav,ʔamiːn-c.wav,ʔ,k,ʔ-k,60,Initial,65.png,160.png,test,phoneme,creaky,أمين,كَمين,secretary,hidden;ambush,أمين,كَمين,20044,3196
205,,205_creaky.wav,ʔærːæːʔɪd-c.wav,ʔ,k,ʔ-k,61,Medial,67.png,162.png,test,phoneme,creaky,الرّائِد,الرّاكِد,leader;explorer;pioneer,stagnant;sluggish;tranquil,الرّائِد,الرّاكِد,8609,256
206,,206_creaky.wav,ræːʔɪʕa-c.wav,ʔ,k,ʔ-k,62,Medial,68.png,163.png,test,phoneme,creaky,رائِعة,راكِعة,splendid;marvelous;magnificent,bowing;kneeling;prostrate,رائِعة,راكِعة,6788,23
207,,207_creaky.wav,ʔælmʊlæːʔɪm-c.wav,ʔ,k,ʔ-k,63,Medial,69.png,164.png,test,phoneme,creaky,المُلائِم,المُلاكِم,suitable;appropriate,boxer;pugilist,المُلائِم,المُلاكِم,5061,1778
208,,208_creaky.wav,qæːl-c.wav,q,t,q-t,64,Initial,70.png,165.png,test,phoneme,creaky,قال,تال,said,following;subsequent,قال,تال,430162,1418
209,,209_creaky.wav,ʔaqwa-c.wav,q,t,q-t,65,Medial,72.png,167.png,test,phoneme,creaky,أَقوى,أَتوا,stronger/strongest;more/most_powerful,arrive;come;reach,أَقوى,أَتوا,14518,2757
210,,210_creaky.wav,faqɾa-c.wav,q,t,q-t,66,Medial,73.png,168.png,test,phoneme,creaky,فَقرة,فَترة,paragraph;clause,phase;time_period;interval,فَقرة,فَترة,13023,109530
211,,211_creaky.wav,ʔælʕɑqiːd-c.wav,q,t,q-t,67,Medial,74.png,169.png,test,phoneme,creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868,2069
212,,212_creaky.wav,ʔæːl-c.wav,gs,t,gs-t,68,Initial,75.png,165.png,test,allophone,creaky,قال,تال,said,following;subsequent,قال,تال,430162,1418
213,,213_creaky.wav,ʔaʔwa-c.wav,gs,t,gs-t,69,Medial,72.png,167.png,test,allophone,creaky,أَقوى,أَتوا,stronger/strongest;more/most_powerful,arrive;come;reach,أَقوى,أَتوا,14518,2757
214,,214_creaky.wav,faʔɾa-c.wav,gs,t,gs-t,70,Medial,73.png,168.png,test,allophone,creaky,فَقرة,فَترة,paragraph;clause,phase;time_period;interval,فَقرة,فَترة,13023,109530
215,,215_creaky.wav,ʔælʕɑʔiːd-c.wav,gs,t,gs-t,71,Medial,74.png,169.png,test,allophone,creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868,2069
216,,216_creaky.wav,jafuːq-c.wav,q,t,q-t,72,Final,80.png,175.png,test,phoneme,creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956,1365
217,,217_creaky.wav,qasˤiːr-c.wav,q,t,q-t,73,Initial,81.png,176.png,test,phoneme,creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833,3536
218,,218_creaky.wav,nafaq-c.wav,q,t,q-t,74,Final,82.png,177.png,test,phoneme,creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056,10423
219,,219_creaky.wav,ʔælfæːʔɪqa-c.wav,q,t,q-t,75,Medial,83.png,178.png,test,phoneme,creaky,الفائِقة,الفائِتة,boundless;exceeding,past;expired;elapsed;gone_by,الفائِقة,الفائِتة,5743,1647
220,,220_creaky.wav,ħalːaq-c.wav,q,t,q-t,76,Final,84.png,179.png,test,phoneme,creaky,حَلَّق,حَلَّت,encircle;whirl,dissolve;untie;solve_(problem),حَلَّق,حَلَّت,4217,11025
221,,221_creaky.wav,ʕaqaba-c.wav,q,t,q-t,77,Medial,85.png,180.png,test,phoneme,creaky,عَقَبَة,عَتَبَة,obstacle;Aqaba(Jordan),step;stair;threshold,عَقَبَة,عَتَبَة,3346,7966
222,,222_creaky.wav,ʔasːabq-c.wav,q,t,q-t,78,Final,86.png,181.png,test,phoneme,creaky,السَّبْق,السَّبْت,precedence;antecedence,Saturday,السَّبْق,السَّبْت,2697,222180
223,,223_creaky.wav,qamːat-c.wav,q,t,q-t,79,Initial,87.png,182.png,test,phoneme,creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997,38873
224,,224_creaky.wav,jafuːʔ-c.wav,gs,t,gs-t,80,Final,80.png,175.png,test,allophone,creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956,1365
225,,225_creaky.wav,ʔasˤiːr-c.wav,gs,t,gs-t,81,Initial,81.png,176.png,test,allophone,creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833,3536
226,,226_creaky.wav,nafaʔ-c.wav,gs,t,gs-t,82,Final,82.png,177.png,test,allophone,creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056,10423
227,,227_creaky.wav,ʔælfæːʔɪʔa-c.wav,gs,t,gs-t,83,Medial,83.png,178.png,test,allophone,creaky,الفائِقة,الفائِتة,boundless;exceeding,past;expired;elapsed;gone_by,الفائِقة,الفائِتة,5743,1647
228,,228_creaky.wav,ħalːaʔ-c.wav,gs,t,gs-t,84,Final,84.png,179.png,test,allophone,creaky,حَلَّق,حَلَّت,encircle;whirl,dissolve;untie;solve_(problem),حَلَّق,حَلَّت,4217,11025
229,,229_creaky.wav,ʕaʔaba-c.wav,gs,t,gs-t,85,Medial,85.png,180.png,test,allophone,creaky,عَقَبَة,عَتَبَة,obstacle;Aqaba(Jordan),step;stair;threshold,عَقَبَة,عَتَبَة,3346,7966
230,,230_creaky.wav,ʔasːabʔ-c.wav,gs,t,gs-t,86,Final,86.png,181.png,test,allophone,creaky,السَّبْق,السَّبْت,precedence;antecedence,Saturday,السَّبْق,السَّبْت,2697,222180
231,,231_creaky.wav,ʔamːat-c.wav,gs,t,gs-t,87,Initial,87.png,182.png,test,allophone,creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997,38873
232,,232_creaky.wav,fæːta-c.wav,t,none,t-none,none,Medial,96.png,1.png,test,control,creaky,فاتَ,فاقَ,to pass by in time,to exceed or go beyond,فاتَ,فاقَ,,
233,,233_creaky.wav,jʊtaʒɪr-c.wav,t,none,t-none,none,Medial,98.png,3.png,test,control,creaky,يُتَجِر,يُؤَجِر,to trade,to rent out,يُتَجِر,يُؤَجِر,,
234,,234_creaky.wav,jʊtarːɪb-c.wav,t,none,t-none,none,Medial,99.png,4.png,test,control,creaky,يُتَرِّب,يُقَرِّب,to cover with dust,to approach,يُتَرِّب,يُقَرِّب,,
235,target repeats,235_creaky.wav,jʊtasˤːɪl-c.wav,t,none,t-none,none,Medial,101.png,6.png,test,control,creaky,يُتَصِّل,يُقَصِّل,to connect,to feed hay to livestock,يُتَصِّل,يُقَصِّل,,
236,duplicated 235,236_creaky.wav,jʊtasˤːɪl-c.wav,t,none,t-none,none,Medial,101.png,7.png,test,control,creaky,يُتَصِّل,يُأَصِّل,to connect,to found or originate,يُتَصِّل,يُأَصِّل,,
237,,237_creaky.wav,jaksɪr-c.wav,k,none,k-none,none,Medial,104.png,9.png,test,control,creaky,يَكسِر,يَقسِر,to break,to force or coerce,يَكسِر,يَقسِر,1056,2
238,duplicated 238,238_creaky.wav,jaksɪr-c.wav,k,none,k-none,none,Medial,104.png,10.png,test,control,creaky,يَكسِر,يَأسِر,to break,to bind,يَكسِر,يَأسِر,,
239,,239_creaky.wav,jakʃɪf-c.wav,k,none,k-none,none,Medial,107.png,12.png,test,control,creaky,يَكشِف,يَقشِف,"to expose, uncover",to live in squalor or misery,يَكشِف,يَقشِف,,
240,,240_creaky.wav,jakfɪl-c.wav,k,none,k-none,none,Medial,109.png,14.png,test,control,creaky,يَكفِل,يَقفِل,to guarantee,to lock,يَكفِل,يَقفِل,,
241,,241_creaky.wav,jʊtarːɪf-c.wav,t,none,t-none,none,Medial,112.png,16.png,test,control,creaky,يُترّّف,يُقرِّف,to spoil in luxury,to arouse digust,يُترّّف,يُقرِّف,,
242,,242_creaky.wav,jakʊfː-c.wav,k,none,k-none,none,Medial,113.png,18.png,test,control,creaky,يَكُفّ,يَقُفّ,"to cease, to hem, to skirt","to ruffle, to shrivel",يَكُفّ,يَقُفّ,,
243,,243_creaky.wav,jaksɪb-c.wav,k,none,k-none,none,Medial,115.png,20.png,test,control,creaky,يَكسِب,يَقسِب,to win a struggle or war,"to flow, to trickle down",يَكسِب,يَقسِب,,
244,,244_creaky.wav,jʊtalːɪf-c.wav,t,none,t-none,none,Medial,117.png,22.png,test,control,creaky,يُتَلِّف,يُؤَلِّف,"to perish, to spoil, to destroy",to become familiar with,يُتَلِّف,يُؤَلِّف,,
245,,245_creaky.wav,jaknɪs-c.wav,k,none,k-none,none,Medial,118.png,23.png,test,control,creaky,يَكنِس,يَأنِس,to hide or retreat,to become used to,يَكنِس,يَأنِس,,
246,,246_creaky.wav,jakwi-c.wav,k,none,k-none,none,Medial,119.png,24.png,test,control,creaky,يَكوي,يَأوي,"to sear, to cauterize",to take shelter (or receive shelter),يَكوي,يَأوي,,
247,,247_creaky.wav,nabat-c.wav,t,none,t-none,none,Final,120.png,25.png,test,control,creaky,نَبَت,نَبَأ,"to germinate, to sprout","to elevate, to exalt",نَبَت,نَبَأ,,
248,,248_creaky.wav,jakuːn-c.wav,k,none,k-none,none,Medial,121.png,26.png,test,control,creaky,يَكون,يَقون,be,preserve;safeguard,يَكون,يَقون,254261,4
249,,249_creaky.wav,kaːnuːn-c.wav,k,none,k-none,none,Initial,123.png,28.png,test,control,creaky,كانون,قانون,stove,law;statutes;regulations,كانون,قانون,101878,92378
250,,250_creaky.wav,kuːba-c.wav,k,none,k-none,none,Initial,125.png,30.png,test,control,creaky,كوبا,قوبا,Cuba,young_bird;chick,كوبا,قوبا,21391,10
251,,251_creaky.wav,tarak-c.wav,k,none,k-none,none,Final,127.png,32.png,test,control,creaky,تَرَك,تَرَق,leave;quit,ascend;rise;promote,تَرَك,تَرَق,19302,670
252,,252_creaky.wav,wakarːar-c.wav,k,none,k-none,none,Medial,129.png,34.png,test,control,creaky,وَكَرَّر,وَقَرَّر,repeat;reiterate,decide;resolve,وَكَرَّر,وَقَرَّر,12919,13138
