Trial,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq
51,,51_non-creaky.wav,ʔʊdˤɑf-b.wav,ʔ,t,ʔ-t,51,Initial,54.png,149.png,test,phoneme,non-creaky,أُضاف,تُضاف,add,be_added,أُضاف,تُضاف,31214,4876
52,,52_non-creaky.wav,ʔʊqiːm-b.wav,ʔ,t,ʔ-t,52,Initial,55.png,150.png,test,phoneme,non-creaky,أُقيم,تُقيم,take_place;be_installed;be_established,install;establish;erect,أُقيم,تُقيم,18543,13107
53,,53_non-creaky.wav,ʔablaʁ-b.wav,ʔ,t,ʔ-t,53,Initial,56.png,151.png,test,phoneme,non-creaky,أبلَغ,تَبلَغ,report;inform;notify,reach;attain,أبلَغ,تَبلَغ,17341,47052
54,,54_non-creaky.wav,ʔaquːl-b.wav,ʔ,t,ʔ-t,54,Medial,57.png,152.png,test,phoneme,non-creaky,أقول,تَقول,say,say,أقول,تَقول,14036,49261
55,,55_non-creaky.wav,ʔaɾa-b.wav,ʔ,t,ʔ-t,55,Initial,60.png,155.png,test,phoneme,non-creaky,أرى,تَرى,see;think;believe,see;think;believe,أرى,تَرى,7666,38891
56,,56_non-creaky.wav,ʔɪntɪhæːʔ-b.wav,ʔ,k,ʔ-k,56,Final,61.png,156.png,test,phoneme,non-creaky,اِنْتِهاء,اِنْتِهاك,finishing;completion;conclusion,exhaustion,اِنْتِهاء,اِنْتِهاك,59925,6516
57,,57_non-creaky.wav,ʔam-b.wav,ʔ,k,ʔ-k,57,Initial,62.png,157.png,test,phoneme,non-creaky,أَمْ,كَمْ,or,how,أَمْ,كَمْ,51870,34974
58,,58_non-creaky.wav,taʔliːf-b.wav,ʔ,k,ʔ-k,58,Medial,63.png,158.png,test,phoneme,non-creaky,تَأليف,تَكليف,authoring;composing;constituting,charging;commissioning,تَأليف,تَكليف,15041,3958
59,,59_non-creaky.wav,ʔasmæːʔ-b.wav,ʔ,k,ʔ-k,59,Final,64.png,159.png,test,phoneme,non-creaky,أَسماء,أَسماك,names,fish,أَسماء,أَسماك,11967,5494
60,,60_non-creaky.wav,ʔamiːn-b.wav,ʔ,k,ʔ-k,60,Initial,65.png,160.png,test,phoneme,non-creaky,أمين,كَمين,secretary,hidden;ambush,أمين,كَمين,20044,3196
61,,61_non-creaky.wav,ʔærːæːʔɪd-b.wav,ʔ,k,ʔ-k,61,Medial,67.png,162.png,test,phoneme,non-creaky,الرّائِد,الرّاكِد,leader;explorer;pioneer,stagnant;sluggish;tranquil,الرّائِد,الرّاكِد,8609,256
62,,62_non-creaky.wav,ræːʔɪʕa-b.wav,ʔ,k,ʔ-k,62,Medial,68.png,163.png,test,phoneme,non-creaky,رائِعة,راكِعة,splendid;marvelous;magnificent,bowing;kneeling;prostrate,رائِعة,راكِعة,6788,23
63,,63_non-creaky.wav,ʔælmʊlæːʔɪm-b.wav,ʔ,k,ʔ-k,63,Medial,69.png,164.png,test,phoneme,non-creaky,المُلائِم,المُلاكِم,suitable;appropriate,boxer;pugilist,المُلائِم,المُلاكِم,5061,1778
64,,64_non-creaky.wav,qæːl-b.wav,q,t,q-t,64,Initial,70.png,165.png,test,phoneme,non-creaky,قال,تال,said,following;subsequent,قال,تال,430162,1418
65,,65_non-creaky.wav,ʔaqwa-b.wav,q,t,q-t,65,Medial,72.png,167.png,test,phoneme,non-creaky,أَقوى,أَتوا,stronger/strongest;more/most_powerful,arrive;come;reach,أَقوى,أَتوا,14518,2757
66,,66_non-creaky.wav,faqɾa-b.wav,q,t,q-t,66,Medial,73.png,168.png,test,phoneme,non-creaky,فَقرة,فَترة,paragraph;clause,phase;time_period;interval,فَقرة,فَترة,13023,109530
67,,67_non-creaky.wav,ʔælʕɑqiːd-b.wav,q,t,q-t,67,Medial,74.png,169.png,test,phoneme,non-creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868,2069
68,,68_non-creaky.wav,ʔæːl-b.wav,gs,t,gs-t,68,Initial,75.png,165.png,test,allophone,non-creaky,قال,تال,said,following;subsequent,قال,تال,430162,1418
69,,69_non-creaky.wav,ʔaʔwa-b.wav,gs,t,gs-t,69,Medial,72.png,167.png,test,allophone,non-creaky,أَقوى,أَتوا,stronger/strongest;more/most_powerful,arrive;come;reach,أَقوى,أَتوا,14518,2757
70,,70_non-creaky.wav,faʔɾa-b.wav,gs,t,gs-t,70,Medial,73.png,168.png,test,allophone,non-creaky,فَقرة,فَترة,paragraph;clause,phase;time_period;interval,فَقرة,فَترة,13023,109530
71,,71_non-creaky.wav,ʔælʕɑʔiːd-b.wav,gs,t,gs-t,71,Medial,74.png,169.png,test,allophone,non-creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868,2069
72,,72_non-creaky.wav,jafuːq-b.wav,q,t,q-t,72,Final,80.png,175.png,test,phoneme,non-creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956,1365
73,,73_non-creaky.wav,qasˤiːr-b.wav,q,t,q-t,73,Initial,81.png,176.png,test,phoneme,non-creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833,3536
74,,74_non-creaky.wav,nafaq-b.wav,q,t,q-t,74,Final,82.png,177.png,test,phoneme,non-creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056,10423
75,,75_non-creaky.wav,ʔælfæːʔɪqa-b.wav,q,t,q-t,75,Medial,83.png,178.png,test,phoneme,non-creaky,الفائِقة,الفائِتة,boundless;exceeding,past;expired;elapsed;gone_by,الفائِقة,الفائِتة,5743,1647
76,,76_non-creaky.wav,ħalːaq-b.wav,q,t,q-t,76,Final,84.png,179.png,test,phoneme,non-creaky,حَلَّق,حَلَّت,encircle;whirl,dissolve;untie;solve_(problem),حَلَّق,حَلَّت,4217,11025
77,,77_non-creaky.wav,ʕaqaba-b.wav,q,t,q-t,77,Medial,85.png,180.png,test,phoneme,non-creaky,عَقَبَة,عَتَبَة,obstacle;Aqaba(Jordan),step;stair;threshold,عَقَبَة,عَتَبَة,3346,7966
78,,78_non-creaky.wav,ʔasːabq-b.wav,q,t,q-t,78,Final,86.png,181.png,test,phoneme,non-creaky,السَّبْق,السَّبْت,precedence;antecedence,Saturday,السَّبْق,السَّبْت,2697,222180
79,,79_non-creaky.wav,qamːat-b.wav,q,t,q-t,79,Initial,87.png,182.png,test,phoneme,non-creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997,38873
80,,80_non-creaky.wav,jafuːʔ-b.wav,gs,t,gs-t,80,Final,80.png,175.png,test,allophone,non-creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956,1365
81,,81_non-creaky.wav,ʔasˤiːr-b.wav,gs,t,gs-t,81,Initial,81.png,176.png,test,allophone,non-creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833,3536
82,,82_non-creaky.wav,nafaʔ-b.wav,gs,t,gs-t,82,Final,82.png,177.png,test,allophone,non-creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056,10423
83,,83_non-creaky.wav,ʔælfæːʔɪʔa-b.wav,gs,t,gs-t,83,Medial,83.png,178.png,test,allophone,non-creaky,الفائِقة,الفائِتة,boundless;exceeding,past;expired;elapsed;gone_by,الفائِقة,الفائِتة,5743,1647
84,,84_non-creaky.wav,ħalːaʔ-b.wav,gs,t,gs-t,84,Final,84.png,179.png,test,allophone,non-creaky,حَلَّق,حَلَّت,encircle;whirl,dissolve;untie;solve_(problem),حَلَّق,حَلَّت,4217,11025
85,,85_non-creaky.wav,ʕaʔaba-b.wav,gs,t,gs-t,85,Medial,85.png,180.png,test,allophone,non-creaky,عَقَبَة,عَتَبَة,obstacle;Aqaba(Jordan),step;stair;threshold,عَقَبَة,عَتَبَة,3346,7966
86,,86_non-creaky.wav,ʔasːabʔ-b.wav,gs,t,gs-t,86,Final,86.png,181.png,test,allophone,non-creaky,السَّبْق,السَّبْت,precedence;antecedence,Saturday,السَّبْق,السَّبْت,2697,222180
87,,87_non-creaky.wav,ʔamːat-b.wav,gs,t,gs-t,87,Initial,87.png,182.png,test,allophone,non-creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997,38873
88,,88_non-creaky.wav,fæːta-b.wav,t,none,t-none,none,Medial,96.png,1.png,test,control,non-creaky,فاتَ,فاقَ,to pass by in time,to exceed or go beyond,فاتَ,فاقَ,,
89,,89_non-creaky.wav,jʊtaʒɪr-b.wav,t,none,t-none,none,Medial,98.png,3.png,test,control,non-creaky,يُتَجِر,يُؤَجِر,to trade,to rent out,يُتَجِر,يُؤَجِر,,
90,,90_non-creaky.wav,jʊtarːɪb-b.wav,t,none,t-none,none,Medial,99.png,4.png,test,control,non-creaky,يُتَرِّب,يُقَرِّب,to cover with dust,to approach,يُتَرِّب,يُقَرِّب,,
91,target repeats,91_non-creaky.wav,jʊtasˤːɪl-b.wav,t,none,t-none,none,Medial,101.png,6.png,test,control,non-creaky,يُتَصِّل,يُقَصِّل,to connect,to feed hay to livestock,يُتَصِّل,يُقَصِّل,,
92,duplicate 92,92_non-creaky.wav,jʊtasˤːɪl-b.wav,t,none,t-none,none,Medial,101.png,7.png,test,control,non-creaky,يُتَصِّل,يُأَصِّل,to connect,to found or originate,يُتَصِّل,يُأَصِّل,,
93,,93_non-creaky.wav,jaksɪr-b.wav,k,none,k-none,none,Medial,104.png,9.png,test,control,non-creaky,يَكسِر,يَقسِر,to break,to force or coerce,يَكسِر,يَقسِر,1056,2
94,duplicated 94,94_non-creaky.wav,jaksɪr-b.wav,k,none,k-none,none,Medial,104.png,10.png,test,control,non-creaky,يَكسِر,يَأسِر,to break,to bind,يَكسِر,يَأسِر,,
95,,95_non-creaky.wav,jakʃɪf-b.wav,k,none,k-none,none,Medial,107.png,12.png,test,control,non-creaky,يَكشِف,يَقشِف,"to expose, uncover",to live in squalor or misery,يَكشِف,يَقشِف,,
96,,96_non-creaky.wav,jakfɪl-b.wav,k,none,k-none,none,Medial,109.png,14.png,test,control,non-creaky,يَكفِل,يَقفِل,to guarantee,to lock,يَكفِل,يَقفِل,,
