trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score,trial_type
182.0,0.19239877373551018,0.1838216841594774,0.2625410281021596,0.07467287779800875,,182_creaky.wav,waqiːl-c.wav,q,k,q-k,38,Medial,40.png,135.png,test,phoneme,creaky,وَقيل,وَكيل,be_said,representative;agent,وَقيل,وَكيل,5767.0,3581.0,1.0,15.0,0.06363238464700935,426.0,0.178358590948789,Accurate-Slow
40.0,0.17381675259227672,0.17276264980142483,0.2749405819105515,-0.8688165350229555,,40_non-creaky.wav,qawaː-b.wav,q,k,q-k,40,Initial,42.png,137.png,test,phoneme,non-creaky,قَوى,كَوى,power;forces,apertures;skylights,قَوى,كَوى,51772.0,3129.0,1.0,13.0,0.25605985707090156,480.9230769230769,-0.06182413767967562,Accurate-Slow
67.0,0.41469480444900647,0.3472496363395879,0.5177651773248921,0.665388802599477,,67_non-creaky.wav,ʔælʕɑqiːd-b.wav,q,t,q-t,67,Medial,74.png,169.png,test,phoneme,non-creaky,العَقيد,العَتيد,colonel,prepared,العَقيد,العَتيد,12868.0,2069.0,1.0,17.0,-0.006630793192172759,378.47058823529414,0.4862746051782409,Accurate-Fast
77.0,0.33950644111944156,0.30989467584127695,0.49813255046160504,0.7158519720548787,,77_non-creaky.wav,ʕaqaba-b.wav,q,t,q-t,77,Medial,85.png,180.png,test,phoneme,non-creaky,عَقَبَة,عَتَبَة,obstacle;Aqaba(Jordan),step;stair;threshold,عَقَبَة,عَتَبَة,3346.0,7966.0,1.0,14.0,0.006130699718456522,394.92857142857144,0.4658464098693006,Accurate-Fast
1.0,0.3100849076426553,0.30989467584127695,0.5275814907565357,0.44869401611451626,,1_non-creaky.wav,fæːqa-b.wav,q,t,q-t,1,Medial,1.png,96.png,test,phoneme,non-creaky,فاقَ,فاتَ,to exceed or go beyond,to pass by in time,فاقَ,فاتَ,,,1.0,16.0,-0.03341234130415273,389.3125,0.3990637725887461,Accurate-Fast
74.0,0.4215770345020559,0.34970719953026624,0.49193277355740905,0.7341312006192193,,74_non-creaky.wav,nafaq-b.wav,q,t,q-t,74,Final,82.png,177.png,test,phoneme,non-creaky,نَفَق,نَفَت,tunnel;subway_shaft,deny;disavow;reject,نَفَق,نَفَت,6056.0,10423.0,1.0,17.0,0.13728807850750765,415.0,0.4993370520522376,Accurate-Slow
66.0,0.4525470697407783,0.30547106209805586,0.49193277355740905,0.5653998600253062,,66_non-creaky.wav,faqɾa-b.wav,q,t,q-t,66,Medial,73.png,168.png,test,phoneme,non-creaky,فَقرة,فَترة,paragraph;clause,phase;time_period;interval,فَقرة,فَترة,13023.0,109530.0,1.0,14.0,0.26540675524787877,461.92857142857144,0.4538376913553873,Accurate-Slow
65.0,0.3983495080730141,0.1838216841594774,0.23309208780722895,0.5822729940846976,,65_non-creaky.wav,ʔaqwa-b.wav,q,t,q-t,65,Medial,72.png,167.png,test,phoneme,non-creaky,أَقوى,أَتوا,stronger/strongest;more/most_powerful,arrive;come;reach,أَقوى,أَتوا,14518.0,2757.0,1.0,14.0,0.5242206887729075,535.7857142857143,0.3493840685311045,Accurate-Slow
75.0,0.3212931108719072,0.15380430518762037,0.1671825547661936,0.5212083184411861,,75_non-creaky.wav,ʔælfæːʔɪqa-b.wav,q,t,q-t,75,Medial,83.png,178.png,test,phoneme,non-creaky,الفائِقة,الفائِتة,boundless;exceeding,past;expired;elapsed;gone_by,الفائِقة,الفائِتة,5743.0,1647.0,1.0,17.0,0.07109503577109008,425.8235294117647,0.29087207231672685,Accurate-Slow
217.0,0.4277710415498004,0.30989467584127695,0.5275814907565357,0.28839924255029875,,217_creaky.wav,qasˤiːr-c.wav,q,t,q-t,73,Initial,81.png,176.png,test,phoneme,creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833.0,3536.0,0.9230769230769231,13.0,-0.2103278686089983,370.0769230769231,0.38841161267447794,Ambiguous
