trial_id,recognize_zscore_mean,understand_zscore_mean,meaning_match_zscore_mean,natural_zscore_mean,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq,mean_accuracy,n_responses,mean_log_rt_zscore,mean_rt_ms,composite_score
217.0,0.4277710415498004,0.30989467584127695,0.5275814907565357,0.28839924255029875,,217_creaky.wav,qasˤiːr-c.wav,q,t,q-t,73,Initial,81.png,176.png,test,phoneme,creaky,قَصير,تَصير,short;small,become;begin_to,قَصير,تَصير,8833.0,3536.0,0.9411764705882353,17,0.08035629394765317,744.2352941176471,0.38841161267447794
216.0,0.31662302619305227,0.06708743260225564,0.38688099823631134,0.27949397735228665,,216_creaky.wav,jafuːq-c.wav,q,t,q-t,72,Final,80.png,175.png,test,phoneme,creaky,يَفوق,يَفوت,surpass;excel,expire;go_by,يَفوق,يَفوت,10956.0,1365.0,0.9473684210526315,19,-0.19566677690675482,528.4736842105264,0.2625213585959765
223.0,-1.7200009022555978,-1.6749467829439768,-1.7694358522480573,-0.539790420864825,,223_creaky.wav,qamːat-c.wav,q,t,q-t,79,Initial,87.png,182.png,test,phoneme,creaky,قَمَّت,تَمَّت,sweep,conclude;take_place,قَمَّت,تَمَّت,1997.0,38873.0,0.95,20,0.26216122442922307,828.4,-1.4260434895781142
200.0,0.280663374165869,0.14179735359887755,0.3803367892818823,-0.13905348695428124,,200_creaky.wav,ʔɪntɪhæːʔ-c.wav,ʔ,k,ʔ-k,56,Final,61.png,156.png,test,phoneme,creaky,اِنْتِهاء,اِنْتِهاك,finishing;completion;conclusion,exhaustion,اِنْتِهاء,اِنْتِهاك,59925.0,6516.0,0.8947368421052632,19,0.8214145280454089,1269.0,0.1659360075230869
154.0,0.36892797459622784,0.35191900640187673,-0.5325803598609687,0.12810446898608124,,154_creaky.wav,jaʔsɪr2-c.wav,ʔ,k,ʔ-k,10,Medial,10.png,104.png,test,phoneme,creaky,يَأسِر,يَكسِر,to bind,to break,يَأسِر,يَكسِر,,,0.9444444444444444,18,-0.03659238114296369,4770.555555555556,0.07909277253080428
49.0,0.36892797459622784,0.14179735359887755,0.3803367892818823,0.6624203808668063,,49_non-creaky.wav,ʔamæːm-b.wav,ʔ,t,ʔ-t,49,Initial,52.png,147.png,test,phoneme,non-creaky,أمام,تَمام,front;forward,exact;complete,أمام,تَمام,431358.0,2310.0,0.9411764705882353,17,0.19324007469837048,633.0,0.3883706245859485
48.0,0.28801875753506556,0.18382168415947742,0.3582500840606843,0.63570458527277,,48_non-creaky.wav,ʔatˤlʊb-b.wav,ʔ,t,ʔ-t,48,Initial,51.png,146.png,test,phoneme,non-creaky,أطلُب,تَطلُب,request,request,أطلُب,تَطلُب,3103.0,19843.0,0.8888888888888888,18,-0.5966408408011094,395.6111111111111,0.36644877775699936
195.0,0.19239877373551018,0.2678703452806771,0.17419420721736756,-0.1390534869542812,,195_creaky.wav,ʔʊdˤɑf-c.wav,ʔ,t,ʔ-t,51,Initial,54.png,149.png,test,phoneme,creaky,أُضاف,تُضاف,add,be_added,أُضاف,تُضاف,31214.0,4876.0,0.9444444444444444,18,-0.2578202217313344,3512.1666666666665,0.1238524598198184
50.0,-0.24892422841628398,-0.13689031222404763,0.2919899683970903,0.4754098117085525,,50_non-creaky.wav,ʔajːɑr-b.wav,ʔ,t,ʔ-t,50,Initial,53.png,148.png,test,phoneme,non-creaky,أيّار,تَيّار,May,current;stream,أيّار,تَيّار,73492.0,6249.0,0.95,20,-0.23084421692536047,463.95,0.0953963098663278
194.0,-0.19008116146271142,-0.23642162144652096,0.32143890869202096,0.1548202645801175,,194_creaky.wav,ʔajːɑr-c.wav,ʔ,t,ʔ-t,50,Initial,53.png,148.png,test,phoneme,creaky,أيّار,تَيّار,May,current;stream,أيّار,تَيّار,73492.0,6249.0,0.8947368421052632,19,-0.14422657351909426,524.3157894736842,0.01243909759072652
