participant_id,prolific_id,timestamp_iso,trial_index,block,trial_id,audio_file,audio_url,target_image,distractor_image,target_side,left_image,right_image,choice,choice_image,is_correct,reaction_time_ms,headphone_type,timestamp_iso.1,recognize,understand,meaning_match,msa_dialect,natural,dialect_best,dialect_second,understand_other,msa_instruction,msa_vowels,msa_reading,msa_listening,other_languages,percent_english,percent_arabic,percent_other,language_switching,family_preference,age,gender,country_of_residence,attention_audio,attention_response,attention_index,final_feedback,completion_code
695ff3fde7fd7419df424235,695ff3fde7fd7419df424235,2026-01-28T16:58:23.898Z,,Demographics,,,,,,,,,,,,,airpods pro,2026-01-28T16:58:23.898Z,,,,,,syrian,jordanian,7.0,yes,7.0,7.0,7.0,,,,,,,,,,,,,,
695ff3fde7fd7419df424235,695ff3fde7fd7419df424235,2026-01-28T16:59:56.188Z,,Demographics-Language,,,,,,,,,,,,,airpods pro,2026-01-28T16:59:56.188Z,,,,,,,,,,,,,,50.0,50.0,0.0,7.0,7.0,25.0,MALE,UNITEDKINGDON,,,,,
68c89b71500cd48edf4fefe3,68c89b71500cd48edf4fefe3,2026-01-28T17:40:36.520Z,,Demographics,,,,,,,,,,,,,honor earbuds X6,2026-01-28T17:40:36.520Z,,,,,,Egyptian,none,7.0,yes,7.0,7.0,7.0,,,,,,,,,,,,,,
68c89b71500cd48edf4fefe3,68c89b71500cd48edf4fefe3,2026-01-28T17:41:51.397Z,,Demographics-Language,,,,,,,,,,,,,honor earbuds X6,2026-01-28T17:41:51.397Z,,,,,,,,,,,,,none,20.0,80.0,0.0,5.0,1.0,31.0,female,egypt,,,,,
68c830029bf5aaec07eaa790,68c830029bf5aaec07eaa790,2026-01-28T19:20:12.932Z,,Demographics,,,,,,,,,,,,,Over-ear HyerpX headphones,2026-01-28T19:20:12.932Z,,,,,,Egyptian,none,6.0,yes,6.0,7.0,6.0,,,,,,,,,,,,,,
68c830029bf5aaec07eaa790,68c830029bf5aaec07eaa790,2026-01-28T19:21:11.871Z,,Demographics-Language,,,,,,,,,,,,,Over-ear HyerpX headphones,2026-01-28T19:21:11.871Z,,,,,,,,,,,,,none,33.0,67.0,0.0,2.0,6.0,28.0,Male,Egypt,,,,,
66c0f6b657bd4b8a29485652,66c0f6b657bd4b8a29485652,2026-01-28T21:01:48.298Z,,Demographics,,,,,,,,,,,,,JBL Live Pro 2 True Wireless Earbuds (in-ear Bluetooth earbuds)”,2026-01-28T21:01:48.298Z,,,,,,Tunisian,Egyptian,5.0,yes,6.0,7.0,7.0,,,,,,,,,,,,,,
66c0f6b657bd4b8a29485652,66c0f6b657bd4b8a29485652,2026-01-28T21:03:18.485Z,,Demographics-Language,,,,,,,,,,,,,JBL Live Pro 2 True Wireless Earbuds (in-ear Bluetooth earbuds)”,2026-01-28T21:03:18.485Z,,,,,,,,,,,,,French,40.0,40.0,20.0,4.0,7.0,36.0,Female,France,,,,,
68c03814183fb278ae8ac1c9,68c03814183fb278ae8ac1c9,2026-01-28T23:13:49.200Z,,Demographics,,,,,,,,,,,,,,2026-01-28T23:13:49.200Z,,,,,,Egyptian,Gulf,6.0,yes,6.0,5.0,6.0,,,,,,,,,,,,,,
68c03814183fb278ae8ac1c9,68c03814183fb278ae8ac1c9,2026-01-28T23:15:02.268Z,,Demographics-Language,,,,,,,,,,,,,,2026-01-28T23:15:02.268Z,,,,,,,,,,,,,French,16.0,83.0,1.0,7.0,7.0,20.0,male,Egypt,,,,,
68d4670874bf80ef3de3834d,68d4670874bf80ef3de3834d,2026-01-29T01:27:57.701Z,,Demographics,,,,,,,,,,,,,,2026-01-29T01:27:57.701Z,,,,,,Egyptian Arabic,Gulf ,6.0,yes,7.0,6.0,7.0,,,,,,,,,,,,,,
68d4670874bf80ef3de3834d,68d4670874bf80ef3de3834d,2026-01-29T01:29:18.127Z,,Demographics-Language,,,,,,,,,,,,,,2026-01-29T01:29:18.127Z,,,,,,,,,,,,,German,34.0,65.0,1.0,3.0,5.0,26.0,Male,Egypt,,,,,
